report_date,channel, spend ,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2021,facebook,56634,,,,apple brand search,apple non-brand search,direct streaming audio,direct-mail,facebook,google brand search,google non-brand search,google uac,growth-promo,impact radius,influencer,package-inserts,podcast,print,promo,radio,referral,snapchat,street-team,tiktok,tv,
2/12/2021,facebook,60380,,,12/13/2021,7349,1408,,16146,37484,5347,20091,20528,,871,80538,587,690,,17400,0,348,5343,,14595,11354,240079
2/12/2021,google brand search,6373,,,12/14/2021,6902,1598,,12308,44870,4632,74882,18130,,1030,227864,674,690,,,0,362,5713,,12995,14157,426807
2/12/2021,google non-brand search,8982,,,12/15/2021,7363,1223,,12308,45757,4898,31991,16591,,2601,29823,1023,619,,,0,280,5961,,7274,13996,181708
2/12/2021,google uac,19459,,,12/16/2021,7256,1492,,8335,48327,4856,26717,17505,,2025,45372,849,510,,,0,307,5052,,10602,16247,195452
2/12/2021,influencer,54736,,,12/17/2021,7428,1500,,8335,46053,6298,26240,16876,,2740,106566,677,490,,15100,0,316,6300,,15009,15152,275080
2/12/2021,referral,483,,,12/18/2021,6980,1407,,8145,43600,4747,23876,16624,,1251,123151,648,490,,200,0,319,7135,,16970,16219,271762
2/12/2021,snapchat,8451,,,12/19/2021,6701,1083,,8145,42965,4510,21090,17283,,810,33046,571,490,,,0,337,6944,,17995,15706,177676
2/12/2021,tiktok,649,,,12/20/2021,7419,1254,,8145,43883,6228,24274,19540,,1911,243095,571,551,,,0,392,5658,,19077,14540,396538
2/12/2021,tv,9591,,,12/21/2021,6850,1489,,7675,35406,5059,24645,15432,,1975,71640,542,615,,,,385,3424,,19451,16377,210965
2/13/2021,facebook,59867,,,12/22/2021,7439,1639,,7675,31643,5443,25345,12849,,3050,45934,542,564,,,,350,3783,,18896,16425,181577
2/13/2021,google brand search,5916,,,12/23/2021,6822,1750,,4028,29967,4931,24803,12650,,1845,76199,513,501,,,,373,3978,,20405,16618,205383
2/13/2021,google non-brand search,13127,,,12/24/2021,5632,1544,,4028,28148,4076,23799,10729,,1620,80276,513,501,,15250,,413,4253,,22377,16338,219497
2/13/2021,google uac,20540,,,12/25/2021,6332,1759,,3838,27777,4122,22480,9495,,700,29276,513,463,,,,368,3009,,25449,15716,151297
2/13/2021,influencer,28489,,,12/26/2021,6605,1300,,3838,27231,4281,24869,12376,,1040,20068,513,463,,,,345,2644,,25964,13734,145271
2/13/2021,referral,528,,,12/27/2021,7335,1373,,3838,27925,5180,27438,15826,,790,36032,513,377,,,,374,2846,,20315,13793,163955
2/13/2021,snapchat,8124,,,12/28/2021,8411,1534,,3838,28397,5217,25730,18457,,1850,42948,513,334,,,,354,2558,,20031,16862,177034
2/13/2021,tiktok,443,,,12/29/2021,6216,1424,,3838,25195,5401,23682,22094,,2185,6304,513,239,,,,304,3981,,19751,16779,137906
2/13/2021,tv,8525,,,12/30/2021,6818,1404,,3838,23273,5118,26075,23881,,1820,20288,484,227,,,,317,4305,,17535,16417,151800
2/14/2021,facebook,56253,,,12/31/2021,7239,1445,,3838,23315,4586,23951,25127,,985,51873,484,197,,,,313,6215,,16785,16613,182966
2/14/2021,google brand search,5362,,,1/1/2022,6582,1258,,3838,24525,4755,22955,29710,,980,49533,310,187,,,,290,5601,,19980,14933,185437
2/14/2021,google non-brand search,15677,,,1/2/2022,6977,1507,,3838,26260,4839,22662,31043,,1250,17568,310,187,,,,384,5838,,12591,13867,149121
2/14/2021,google uac,18835,,,1/3/2022,7489,1635,,3838,29958,5497,24454,28429,,1385,11408,310,165,,,,375,5338,,13086,14191,147558
2/14/2021,influencer,15847,,,1/4/2022,6943,1408,,3838,28907,5376,23229,30728,,1125,20860,310,153,,,,378,3990,,10817,17077,155139
2/14/2021,referral,486,,,1/5/2022,6962,1253,,3838,32688,4928,24075,28756,,910,34188,310,2124,,,,334,4620,,11377,16851,173214
2/14/2021,snapchat,7612,,,1/6/2022,7278,1664,,3838,39193,5082,24660,28904,,635,6917,310,124,,16700,,379,5568,,12143,16499,169894
2/14/2021,tiktok,319,,,1/7/2022,6760,1759,,13338,51163,4967,22859,31424,,590,24942,204,81,,11700,,380,4868,,11706,15997,202738
2/14/2021,tv,5845,,,1/8/2022,8198,1472,,3838,54304,4792,23628,32611,,540,18159,155,73,,,,400,4787,,11253,15144,179354
2/15/2021,facebook,59738,,,1/9/2022,5825,868,,3838,53703,5153,22237,29740,,55,3967,113,73,,,,449,4359,,12223,13424,156027
2/15/2021,google brand search,5528,,,1/10/2022,7930,1635,,3838,54522,5952,26463,28487,,480,72153,269,137,,,,548,3654,,8541,11183,225792
2/15/2021,google non-brand search,18953,,,1/11/2022,6387,1727,,3838,46651,5211,25775,27478,,580,39038,892,137,,,,399,3708,,7132,16453,185406
2/15/2021,google uac,17149,,,1/12/2022,7026,2164,,3838,32664,5624,25162,28976,100,1390,8743,580,133,,,,532,3690,,6959,15670,143251
2/15/2021,influencer,18448,,,1/13/2022,7108,2215,,3838,32245,7648,24984,24346,,665,4813,425,133,,,,422,5322,,6891,18451,139506
