report_date,channel, spend ,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2021,facebook,56634,,,,apple brand search,apple non-brand search,direct streaming audio,direct-mail,facebook,google brand search,google non-brand search,google uac,growth-promo,impact radius,influencer,package-inserts,podcast,print,promo,radio,referral,snapchat,street-team,tiktok,tv,
10/3/2021,google uac,37987,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2021,impact radius,1050,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2021,influencer,9461,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2021,podcast,1487,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2021,radio,1946,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2021,referral,332,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2021,snapchat,15526,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2021,street-team, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2021,tiktok,14860,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2021,tv,7625,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2021,apple brand search,6939,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2021,apple non-brand search,2206,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2021,direct-mail,8527,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2021,facebook,97376,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2021,google brand search,4204,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2021,google non-brand search,18591,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2021,google uac,36842,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2021,impact radius,680,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2021,influencer,22152,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2021,podcast,1553,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2021,radio,1946,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2021,referral,451,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2021,snapchat,15279,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2021,street-team, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2021,tiktok,30366,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2021,tv,11239,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2021,apple brand search,6882,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2021,apple non-brand search,2049,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2021,direct-mail,8167,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2021,facebook,106263,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2021,google brand search,5284,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2021,google non-brand search,20379,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2021,google uac,43666,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2021,impact radius,981,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2021,influencer,64704,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2021,podcast,1553,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2021,radio,1946,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2021,referral,463,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2021,snapchat,14947,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2021,street-team, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2021,tiktok,29843,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2021,tv,11647,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2021,apple brand search,3528,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2021,apple non-brand search,2370,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2021,direct-mail,4811,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2021,facebook,109130,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2021,google brand search,5860,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2021,google non-brand search,20257,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2021,google uac,39442,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2021,impact radius,1280,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2021,influencer,17841,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2021,podcast,1074,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2021,radio,973,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2021,referral,445,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2021,snapchat,15043,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2021,street-team, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2021,tiktok,29210,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2021,tv,11773,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,apple brand search,7496,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,apple non-brand search,1872,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,direct-mail,4811,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,facebook,110132,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,google brand search,5431,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,google non-brand search,21341,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,google uac,38830,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,impact radius,750,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,influencer,35035,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,podcast,608,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,radio,973,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,referral,359,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,snapchat,15006,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,street-team, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,tiktok,15581,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,tv,11048,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2021,apple brand search,7008,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2021,apple non-brand search,2086,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2021,direct-mail,4451,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2021,facebook,103155,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2021,google brand search,4898,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2021,google non-brand search,17079,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2021,google uac,33246,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2021,impact radius,520,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2021,influencer,33631,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2021,podcast,608,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2021,promo,33550,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2021,radio,973,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2021,referral,329,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2021,snapchat,15370,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2021,street-team, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2021,tiktok,26559,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2021,tv,10685,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021,apple brand search,6696,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021,apple non-brand search,2084,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021,direct-mail,4451,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021,facebook,96095,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021,google brand search,4396,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021,google non-brand search,14759,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021,google uac,19096,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021,impact radius,670,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021,influencer,7669,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021,podcast,1083,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021,radio,973,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021,referral,323,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021,snapchat,14336,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021,street-team, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021,tiktok,24217,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2021,tv,10125,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2021,apple brand search,6146,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2021,apple non-brand search,1821,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2021,direct-mail,4091,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2021,facebook,96102,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2021,google brand search,4107,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2021,google non-brand search,11559,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2021,google uac,13278,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2021,impact radius,730,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2021,influencer,3900,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2021,podcast,1083,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2021,radio,973,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2021,referral,296,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2021,snapchat,13950,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2021,street-team, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2021,tiktok,23990,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2021,tv,9231,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,apple brand search,7013,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,apple non-brand search,2405,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,direct-mail,4091,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,facebook,92558,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,google brand search,3989,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,google non-brand search,10220,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,google uac,11593,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,impact radius,790,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,influencer,20652,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,podcast,1038,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,radio,973,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,referral,370,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,snapchat,13462,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,street-team, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,tiktok,23756,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,tv,10728,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,apple brand search,7003,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,apple non-brand search,2882,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,direct-mail,4091,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,facebook,96411,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,google brand search,4121,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,google non-brand search,10835,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,google uac,7823,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,impact radius,820,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,influencer,12387,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,podcast,1052,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,radio,973,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,referral,379,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,snapchat,8691,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,street-team, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,tiktok,25983,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,tv,11967,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2021,apple brand search,7162,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2021,apple non-brand search,2582,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2021,direct-mail,4091,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2021,facebook,105412,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2021,google brand search,4182,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2021,google non-brand search,14561,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2021,google uac,6248,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2021,impact radius,675,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2021,influencer,17880,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2021,podcast,917,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2021,radio, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2021,referral,380,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2021,snapchat,5989,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2021,street-team, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2021,tiktok,25371,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2021,tv,11816,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2021,apple brand search,7229,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2021,apple non-brand search,2621,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2021,direct-mail,3776,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2021,facebook,108604,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2021,google brand search,4406,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2021,google non-brand search,14102,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2021,google uac,6172,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2021,impact radius,795,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2021,influencer,17700,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2021,podcast,1063,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2021,radio, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2021,referral,412,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2021,snapchat,5846,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2021,street-team, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2021,tiktok,21391,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2021,tv,11511,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,apple brand search,6867,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,apple non-brand search,2315,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,direct-mail,3776,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,facebook,125758,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,google brand search,3941,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,google non-brand search,16433,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,google uac,6267,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,impact radius,816,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,influencer,59146,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,podcast,1063,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,promo,36300,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,radio, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,referral,351,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,snapchat,5634,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,street-team, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,tiktok,19663,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,tv,10418,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2021,apple brand search,6758,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2021,apple non-brand search,2074,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2021,direct-mail,3776,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2021,facebook,127911,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2021,google brand search,3750,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2021,google non-brand search,16546,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2021,google uac,5876,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2021,impact radius,535,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2021,influencer,138551,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2021,podcast,747,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2021,radio, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2021,referral,288,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2021,snapchat,5253,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2021,street-team, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2021,tiktok,20413,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2021,tv,10461,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2021,apple brand search,6449,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2021,apple non-brand search,1916,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2021,direct-mail,3416,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2021,facebook,133176,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2021,google brand search,3242,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2021,google non-brand search,12683,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2021,google uac,5421,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2021,impact radius,985,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2021,influencer,14316,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2021,podcast,868,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2021,radio, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2021,referral,268,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2021,snapchat,5435,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2021,street-team, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2021,tiktok,21151,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2021,tv,9316,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,apple brand search,7371,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,apple non-brand search,2180,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,direct-mail,3416,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,facebook,126935,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,google brand search,4142,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,google non-brand search,16730,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,google uac,6945,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,impact radius,395,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,influencer,20397,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,podcast,856,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,radio, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,referral,343,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,snapchat,5410,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,tiktok,22193,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,tv,10872,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2021,apple brand search,6480,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2021,apple non-brand search,1809,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2021,direct-mail,3416,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2021,facebook,115373,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2021,google brand search,4297,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2021,google non-brand search,16942,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2021,google uac,9128,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2021,impact radius,750,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2021,influencer,6836,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2021,podcast,847,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2021,promo,300,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2021,radio, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2021,referral,358,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2021,snapchat,5208,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2021,tiktok,21478,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2021,tv,12239,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,apple brand search,6981,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,apple non-brand search,2097,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,direct-mail,3416,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,facebook,113911,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,google brand search,4784,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,google non-brand search,17594,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,google uac,12532,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,impact radius,1047,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,influencer,313962,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,podcast,1199,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,radio, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,referral,392,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,snapchat,5269,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,tiktok,19912,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,tv,11448,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2021,apple brand search,7462,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2021,apple non-brand search,2207,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2021,direct-mail,3416,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2021,facebook,109451,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2021,google brand search,4676,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2021,google non-brand search,17538,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2021,google uac,17343,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2021,impact radius,845,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2021,influencer,16174,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2021,podcast,1053,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2021,radio, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2021,referral,388,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2021,snapchat,5567,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2021,tiktok,19049,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2021,tv,10785,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,apple brand search,6408,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,apple non-brand search,1831,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,direct-mail,3416,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,facebook,105156,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,google brand search,4227,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,google non-brand search,18332,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,google uac,19871,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,impact radius,735,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,influencer,8644,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,podcast,1338,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,promo,32050,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,radio,5000,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,referral,359,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,snapchat,5232,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,tiktok,18389,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,tv,10555,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2021,apple brand search,7168,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2021,apple non-brand search,1856,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2021,direct-mail,3416,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2021,facebook,111470,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2021,google brand search,4509,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2021,google non-brand search,16329,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2021,google uac,26657,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2021,impact radius,965,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2021,influencer,28536,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2021,podcast,1249,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2021,radio, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2021,referral,315,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2021,snapchat,5170,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2021,tiktok,21068,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2021,tv,8815,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2021,apple brand search,6887,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2021,apple non-brand search,1423,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2021,direct-mail,3416,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2021,facebook,108879,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2021,google brand search,3940,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2021,google non-brand search,14235,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2021,google uac,35592,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2021,impact radius,755,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2021,influencer,10878,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2021,podcast,1642,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2021,radio, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2021,referral,310,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2021,snapchat,5187,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2021,tiktok,22123,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2021,tv,8605,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2021,apple brand search,7176,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2021,apple non-brand search,1681,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2021,direct-mail,3416,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2021,facebook,110479,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2021,google brand search,3614,,,,,,,,,,,,,,,,,,,,,,,,,
